"season","team","kicker","kicker_id","distance","wind","roof_type","fg_result"
2014,"BUF","D.Carpenter","00-0026003",50,3,"outdoors",1
2014,"CHI","R.Gould","00-0023252",41,3,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",33,3,"outdoors",1
2014,"CHI","R.Gould","00-0023252",37,3,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",27,3,"outdoors",1
2014,"CAR","G.Gano","00-0026858",28,6,"outdoors",1
2014,"CAR","G.Gano","00-0026858",48,6,"outdoors",0
2014,"CAR","G.Gano","00-0026858",33,6,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",49,8,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",22,8,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",28,8,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",55,8,"outdoors",0
2014,"CIN","M.Nugent","00-0023482",46,8,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",38,8,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",45,8,"outdoors",0
2014,"BAL","J.Tucker","00-0029597",38,8,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",36,6,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",39,6,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",34,6,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",25,6,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",41,6,"outdoors",1
2014,"SEA","S.Hauschka","00-0025944",35,11,"outdoors",1
2014,"GB","M.Crosby","00-0025580",23,11,"outdoors",1
2014,"SEA","S.Hauschka","00-0025944",20,11,"outdoors",1
2014,"DEN","B.McManus","00-0029822",21,6,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",25,6,"outdoors",1
2014,"JAX","J.Scobee","00-0022874",49,9,"outdoors",1
2014,"JAX","J.Scobee","00-0022874",50,9,"outdoors",0
2014,"JAX","J.Scobee","00-0022874",36,9,"outdoors",0
2014,"PHI","C.Parkey","00-0030850",51,9,"outdoors",1
2014,"PHI","C.Parkey","00-0030850",28,9,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",52,NA,"indoors",1
2014,"LA","G.Zuerlein","00-0029621",50,NA,"indoors",0
2014,"MIN","B.Walsh","00-0029576",46,NA,"indoors",1
2014,"LA","G.Zuerlein","00-0029621",56,NA,"indoors",1
2014,"LA","G.Zuerlein","00-0029621",46,NA,"indoors",1
2014,"NE","S.Gostkowski","00-0024333",47,0,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",38,0,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",45,0,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",24,0,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",22,0,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",27,0,"outdoors",1
2014,"NO","S.Graham","00-0019536",31,NA,"indoors",1
2014,"NO","S.Graham","00-0019536",50,NA,"indoors",1
2014,"ATL","M.Bryant","00-0020578",40,NA,"indoors",1
2014,"ATL","M.Bryant","00-0020578",51,NA,"indoors",1
2014,"ATL","M.Bryant","00-0020578",52,NA,"indoors",1
2014,"DET","N.Freese","00-0031093",43,NA,"indoors",0
2014,"DET","N.Freese","00-0031093",28,NA,"indoors",1
2014,"DET","N.Freese","00-0031093",27,NA,"indoors",1
2014,"NYJ","N.Folk","00-0025565",45,12,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",42,12,"outdoors",1
2014,"ARI","C.Catanzaro","00-0030896",22,NA,"indoors",1
2014,"LAC","N.Novak","00-0023096",36,NA,"indoors",1
2014,"ARI","C.Catanzaro","00-0030896",44,NA,"indoors",1
2014,"DAL","D.Bailey","00-0028660",29,NA,"indoors",1
2014,"SF","P.Dawson","00-0004091",37,NA,"indoors",0
2014,"KC","C.Santos","00-0031203",35,7,"outdoors",1
2014,"KC","C.Santos","00-0031203",48,7,"outdoors",0
2014,"TEN","R.Succop","00-0026968",36,7,"outdoors",1
2014,"TEN","R.Succop","00-0026968",31,7,"outdoors",1
2014,"TEN","R.Succop","00-0026968",46,7,"outdoors",1
2014,"TEN","R.Succop","00-0026968",47,7,"outdoors",1
2014,"HOU","R.Bullock","00-0029421",42,NA,"indoors",1
2014,"ARI","C.Catanzaro","00-0030896",49,1,"outdoors",1
2014,"ARI","C.Catanzaro","00-0030896",37,1,"outdoors",1
2014,"ARI","C.Catanzaro","00-0030896",32,1,"outdoors",1
2014,"ARI","C.Catanzaro","00-0030896",33,1,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",31,4,"outdoors",1
2014,"ATL","M.Bryant","00-0020578",46,4,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",38,4,"outdoors",0
2014,"CIN","M.Nugent","00-0023482",49,4,"outdoors",0
2014,"CIN","M.Nugent","00-0023482",55,4,"outdoors",0
2014,"SF","P.Dawson","00-0004091",27,10,"outdoors",1
2014,"SF","P.Dawson","00-0004091",24,10,"outdoors",1
2014,"DAL","D.Bailey","00-0028660",48,2,"outdoors",1
2014,"DAL","D.Bailey","00-0028660",44,2,"outdoors",1
2014,"DAL","D.Bailey","00-0028660",51,2,"outdoors",1
2014,"TEN","R.Succop","00-0026968",47,2,"outdoors",1
2014,"DAL","D.Bailey","00-0028660",48,2,"outdoors",1
2014,"DET","N.Freese","00-0031093",49,9,"outdoors",0
2014,"CAR","G.Gano","00-0026858",29,9,"outdoors",1
2014,"DET","N.Freese","00-0031093",49,9,"outdoors",0
2014,"CAR","G.Gano","00-0026858",53,9,"outdoors",1
2014,"CAR","G.Gano","00-0026858",38,9,"outdoors",1
2014,"HOU","R.Bullock","00-0029421",33,16,"outdoors",1
2014,"HOU","R.Bullock","00-0029421",39,16,"outdoors",1
2014,"HOU","R.Bullock","00-0029421",46,16,"outdoors",1
2014,"HOU","R.Bullock","00-0029421",27,16,"outdoors",0
2014,"WAS","K.Forbath","00-0028787",36,6,"outdoors",1
2014,"WAS","K.Forbath","00-0028787",42,6,"outdoors",1
2014,"JAX","J.Scobee","00-0022874",36,6,"outdoors",1
2014,"KC","C.Santos","00-0031203",45,7,"outdoors",1
2014,"KC","C.Santos","00-0031203",37,7,"outdoors",0
2014,"DEN","B.McManus","00-0029822",20,7,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",27,4,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",27,4,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",31,4,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",34,4,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",32,4,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",31,4,"outdoors",0
2014,"BUF","D.Carpenter","00-0026003",38,4,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",48,0,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",48,0,"outdoors",0
2014,"NE","S.Gostkowski","00-0024333",47,0,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",27,0,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",32,6,"outdoors",1
2014,"NO","S.Graham","00-0019536",27,6,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",29,6,"outdoors",1
2014,"GB","M.Crosby","00-0025580",31,15,"outdoors",1
2014,"GB","M.Crosby","00-0025580",20,15,"outdoors",1
2014,"GB","M.Crosby","00-0025580",55,15,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",52,15,"outdoors",1
2014,"PHI","C.Parkey","00-0030850",31,NA,"indoors",1
2014,"PHI","C.Parkey","00-0030850",38,NA,"indoors",0
2014,"IND","A.Vinatieri","00-0016919",46,NA,"indoors",1
2014,"PHI","C.Parkey","00-0030850",23,NA,"indoors",1
2014,"IND","A.Vinatieri","00-0016919",27,NA,"indoors",1
2014,"PHI","C.Parkey","00-0030850",36,NA,"indoors",1
2014,"BAL","J.Tucker","00-0029597",30,6,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",25,6,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",43,6,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",23,6,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",22,6,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",20,6,"outdoors",1
2014,"LAC","N.Novak","00-0023096",50,8,"outdoors",1
2014,"LAC","N.Novak","00-0023096",43,8,"outdoors",1
2014,"LAC","N.Novak","00-0023096",28,8,"outdoors",1
2014,"LA","G.Zuerlein","00-0029621",36,8,"outdoors",1
2014,"LA","G.Zuerlein","00-0029621",35,8,"outdoors",1
2014,"TB","P.Murray","00-0030626",24,8,"outdoors",0
2014,"LA","G.Zuerlein","00-0029621",46,8,"outdoors",1
2014,"TB","P.Murray","00-0030626",36,8,"outdoors",1
2014,"LA","G.Zuerlein","00-0029621",38,8,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",38,23,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",50,23,"outdoors",0
2014,"CLE","B.Cundiff","00-0020972",36,23,"outdoors",0
2014,"BAL","J.Tucker","00-0029597",21,23,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",32,23,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",43,10,"outdoors",1
2014,"CHI","R.Gould","00-0023252",24,10,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",28,10,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",22,10,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",42,10,"outdoors",1
2014,"CHI","R.Gould","00-0023252",45,10,"outdoors",1
2014,"DAL","D.Bailey","00-0028660",29,NA,"indoors",1
2014,"DAL","D.Bailey","00-0028660",40,NA,"indoors",1
2014,"LA","G.Zuerlein","00-0029621",28,NA,"indoors",1
2014,"SEA","S.Hauschka","00-0025944",20,7,"outdoors",1
2014,"DEN","B.McManus","00-0029822",24,7,"outdoors",1
2014,"SEA","S.Hauschka","00-0025944",46,7,"outdoors",0
2014,"SEA","S.Hauschka","00-0025944",28,7,"outdoors",1
2014,"DET","N.Freese","00-0031093",30,NA,"indoors",1
2014,"DET","N.Freese","00-0031093",41,NA,"indoors",0
2014,"NYG","J.Brown","00-0021940",39,4,"outdoors",1
2014,"HOU","R.Bullock","00-0029421",27,4,"outdoors",1
2014,"NYG","J.Brown","00-0021940",29,4,"outdoors",1
2014,"NYG","J.Brown","00-0021940",31,4,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",48,5,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",43,5,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",25,5,"outdoors",1
2014,"JAX","J.Scobee","00-0022874",41,5,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",48,4,"outdoors",0
2014,"MIA","C.Sturgis","00-0030390",22,4,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",51,4,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",25,NA,"indoors",1
2014,"MIN","B.Walsh","00-0029576",30,NA,"indoors",1
2014,"MIN","B.Walsh","00-0029576",40,NA,"indoors",1
2014,"LV","S.Janikowski","00-0019646",49,11,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",21,11,"outdoors",1
2014,"LV","S.Janikowski","00-0019646",37,11,"outdoors",1
2014,"LV","S.Janikowski","00-0019646",47,11,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",20,11,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",36,11,"outdoors",1
2014,"CAR","G.Gano","00-0026858",40,7,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",42,7,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",24,7,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",45,7,"outdoors",1
2014,"CAR","G.Gano","00-0026858",40,7,"outdoors",1
2014,"LAC","N.Novak","00-0023096",19,24,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",45,24,"outdoors",1
2014,"LAC","N.Novak","00-0023096",37,24,"outdoors",1
2014,"ARI","C.Catanzaro","00-0030896",51,NA,"indoors",1
2014,"ARI","C.Catanzaro","00-0030896",32,NA,"indoors",1
2014,"SF","P.Dawson","00-0004091",45,NA,"indoors",0
2014,"ARI","C.Catanzaro","00-0030896",35,NA,"indoors",1
2014,"ATL","M.Bryant","00-0020578",59,NA,"indoors",0
2014,"TEN","R.Succop","00-0026968",40,20,"outdoors",0
2014,"CIN","M.Nugent","00-0023482",29,20,"outdoors",1
2014,"TEN","R.Succop","00-0026968",44,20,"outdoors",0
2014,"WAS","K.Forbath","00-0028787",49,4,"outdoors",1
2014,"WAS","K.Forbath","00-0028787",44,4,"outdoors",1
2014,"PHI","C.Parkey","00-0030850",38,4,"outdoors",1
2014,"PHI","C.Parkey","00-0030850",33,4,"outdoors",1
2014,"WAS","K.Forbath","00-0028787",33,4,"outdoors",0
2014,"PHI","C.Parkey","00-0030850",51,4,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",49,0,"outdoors",0
2014,"MIN","B.Walsh","00-0029576",18,0,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",41,0,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",55,0,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",33,0,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",31,NA,"indoors",1
2014,"HOU","R.Bullock","00-0029421",41,NA,"indoors",1
2014,"HOU","R.Bullock","00-0029421",55,NA,"indoors",1
2014,"HOU","R.Bullock","00-0029421",50,NA,"indoors",1
2014,"BAL","J.Tucker","00-0029597",57,4,"outdoors",0
2014,"CAR","G.Gano","00-0026858",37,4,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",30,4,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",27,0,"outdoors",1
2014,"DET","A.Henery","00-0028058",51,0,"outdoors",1
2014,"DET","A.Henery","00-0028058",52,0,"outdoors",0
2014,"CHI","R.Gould","00-0023252",23,3,"outdoors",1
2014,"GB","M.Crosby","00-0025580",53,3,"outdoors",1
2014,"GB","M.Crosby","00-0025580",38,3,"outdoors",0
2014,"LAC","N.Novak","00-0023096",33,8,"outdoors",1
2014,"LAC","N.Novak","00-0023096",34,8,"outdoors",1
2014,"LAC","N.Novak","00-0023096",23,8,"outdoors",1
2014,"LAC","N.Novak","00-0023096",37,8,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",41,6,"outdoors",1
2014,"KC","C.Santos","00-0031203",22,3,"outdoors",1
2014,"KC","C.Santos","00-0031203",31,3,"outdoors",1
2014,"NO","S.Graham","00-0019536",41,NA,"indoors",0
2014,"DAL","D.Bailey","00-0028660",51,NA,"indoors",1
2014,"NO","S.Graham","00-0019536",30,NA,"indoors",1
2014,"NYG","J.Brown","00-0021940",29,4,"outdoors",1
2014,"SF","P.Dawson","00-0004091",29,4,"outdoors",1
2014,"SF","P.Dawson","00-0004091",51,4,"outdoors",1
2014,"SF","P.Dawson","00-0004091",46,4,"outdoors",1
2014,"SF","P.Dawson","00-0004091",31,4,"outdoors",1
2014,"TB","P.Murray","00-0030626",50,3,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",25,3,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",50,3,"outdoors",0
2014,"TB","P.Murray","00-0030626",27,3,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",31,NA,"outdoors",1
2014,"TEN","R.Succop","00-0026968",36,NA,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",30,NA,"outdoors",1
2014,"ARI","C.Catanzaro","00-0030896",33,10,"outdoors",1
2014,"ARI","C.Catanzaro","00-0030896",48,10,"outdoors",1
2014,"DEN","B.McManus","00-0029822",44,10,"outdoors",1
2014,"DEN","B.McManus","00-0029822",53,10,"outdoors",0
2014,"DEN","B.McManus","00-0029822",41,10,"outdoors",1
2014,"ATL","M.Bryant","00-0020578",20,9,"outdoors",1
2014,"NYG","J.Brown","00-0021940",49,9,"outdoors",1
2014,"ATL","M.Bryant","00-0020578",20,9,"outdoors",1
2014,"NYG","J.Brown","00-0021940",50,9,"outdoors",1
2014,"NYG","J.Brown","00-0021940",26,9,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",38,NA,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",34,NA,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",52,NA,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",27,NA,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",45,NA,"indoors",1
2014,"DET","A.Henery","00-0028058",44,NA,"indoors",0
2014,"BUF","D.Carpenter","00-0026003",50,NA,"indoors",0
2014,"DET","A.Henery","00-0028058",47,NA,"indoors",0
2014,"BUF","D.Carpenter","00-0026003",25,NA,"indoors",1
2014,"DET","A.Henery","00-0028058",50,NA,"indoors",0
2014,"BUF","D.Carpenter","00-0026003",58,NA,"indoors",1
2014,"CHI","R.Gould","00-0023252",35,7,"outdoors",0
2014,"CHI","R.Gould","00-0023252",45,7,"outdoors",1
2014,"CAR","G.Gano","00-0026858",44,7,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",52,2,"outdoors",0
2014,"CIN","M.Nugent","00-0023482",23,2,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",48,2,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",19,2,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",23,2,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",47,2,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",35,2,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",38,13,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",42,13,"outdoors",1
2014,"DAL","D.Bailey","00-0028660",33,NA,"indoors",1
2014,"HOU","R.Bullock","00-0029421",29,NA,"indoors",1
2014,"DAL","D.Bailey","00-0028660",53,NA,"indoors",0
2014,"DAL","D.Bailey","00-0028660",49,NA,"indoors",1
2014,"SF","P.Dawson","00-0004091",31,1,"outdoors",1
2014,"KC","C.Santos","00-0031203",42,1,"outdoors",1
2014,"SF","P.Dawson","00-0004091",55,1,"outdoors",1
2014,"SF","P.Dawson","00-0004091",52,1,"outdoors",1
2014,"SF","P.Dawson","00-0004091",27,1,"outdoors",1
2014,"SF","P.Dawson","00-0004091",30,1,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",26,6,"outdoors",1
2014,"LAC","N.Novak","00-0023096",34,8,"outdoors",1
2014,"JAX","J.Scobee","00-0022874",43,10,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",24,10,"outdoors",1
2014,"JAX","J.Scobee","00-0022874",35,10,"outdoors",1
2014,"JAX","J.Scobee","00-0022874",36,10,"outdoors",1
2014,"SEA","S.Hauschka","00-0025944",40,4,"outdoors",1
2014,"WAS","K.Forbath","00-0028787",27,4,"outdoors",1
2014,"SEA","S.Hauschka","00-0025944",43,4,"outdoors",1
2014,"PHI","C.Parkey","00-0030850",26,16,"outdoors",1
2014,"PHI","C.Parkey","00-0030850",27,16,"outdoors",1
2014,"NO","S.Graham","00-0019536",30,NA,"indoors",1
2014,"NO","S.Graham","00-0019536",29,NA,"indoors",1
2014,"TB","P.Murray","00-0030626",55,NA,"indoors",1
2014,"NO","S.Graham","00-0019536",44,NA,"indoors",1
2014,"BAL","J.Tucker","00-0029597",46,6,"outdoors",1
2014,"TB","P.Murray","00-0030626",45,6,"outdoors",0
2014,"BAL","J.Tucker","00-0029597",64,6,"outdoors",0
2014,"TB","P.Murray","00-0030626",47,6,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",49,6,"outdoors",1
2014,"CAR","G.Gano","00-0026858",39,5,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",44,5,"outdoors",1
2014,"CAR","G.Gano","00-0026858",38,5,"outdoors",0
2014,"CIN","M.Nugent","00-0023482",38,5,"outdoors",1
2014,"CAR","G.Gano","00-0026858",44,5,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",42,5,"outdoors",1
2014,"CAR","G.Gano","00-0026858",36,5,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",36,5,"outdoors",0
2014,"ATL","M.Bryant","00-0020578",52,NA,"indoors",1
2014,"CHI","R.Gould","00-0023252",25,NA,"indoors",1
2014,"CHI","R.Gould","00-0023252",28,NA,"indoors",1
2014,"ATL","M.Bryant","00-0020578",54,NA,"indoors",1
2014,"SEA","S.Hauschka","00-0025944",33,6,"outdoors",1
2014,"DAL","D.Bailey","00-0028660",42,6,"outdoors",1
2014,"SEA","S.Hauschka","00-0025944",33,6,"outdoors",1
2014,"DAL","D.Bailey","00-0028660",56,6,"outdoors",1
2014,"SEA","S.Hauschka","00-0025944",48,6,"outdoors",1
2014,"DAL","D.Bailey","00-0028660",31,6,"outdoors",1
2014,"DEN","B.McManus","00-0029822",37,5,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",30,5,"outdoors",1
2014,"DET","M.Prater","00-0023853",50,0,"outdoors",0
2014,"DET","M.Prater","00-0023853",52,0,"outdoors",1
2014,"DET","M.Prater","00-0023853",44,0,"outdoors",0
2014,"MIN","B.Walsh","00-0029576",40,0,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",48,13,"outdoors",1
2014,"GB","M.Crosby","00-0025580",43,13,"outdoors",1
2014,"GB","M.Crosby","00-0025580",30,13,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",27,NA,"indoors",1
2014,"IND","A.Vinatieri","00-0016919",34,NA,"indoors",1
2014,"HOU","R.Bullock","00-0029421",37,NA,"indoors",0
2014,"TEN","R.Succop","00-0026968",25,7,"outdoors",1
2014,"TEN","R.Succop","00-0026968",21,7,"outdoors",1
2014,"TEN","R.Succop","00-0026968",42,7,"outdoors",1
2014,"JAX","J.Scobee","00-0022874",55,7,"outdoors",0
2014,"NE","S.Gostkowski","00-0024333",36,6,"outdoors",0
2014,"NE","S.Gostkowski","00-0024333",42,6,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",53,6,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",40,6,"outdoors",1
2014,"PHI","C.Parkey","00-0030850",31,5,"outdoors",1
2014,"PHI","C.Parkey","00-0030850",45,5,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",20,13,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",40,13,"outdoors",1
2014,"LV","S.Janikowski","00-0019646",53,5,"outdoors",0
2014,"LAC","N.Novak","00-0023096",30,5,"outdoors",1
2014,"SF","P.Dawson","00-0004091",54,NA,"indoors",1
2014,"LA","G.Zuerlein","00-0029621",38,NA,"indoors",1
2014,"WAS","K.Forbath","00-0028787",28,NA,"indoors",1
2014,"WAS","K.Forbath","00-0028787",43,NA,"indoors",1
2014,"ARI","C.Catanzaro","00-0030896",33,NA,"indoors",1
2014,"ARI","C.Catanzaro","00-0030896",49,NA,"indoors",1
2014,"ARI","C.Catanzaro","00-0030896",37,NA,"indoors",1
2014,"LV","S.Janikowski","00-0019646",29,6,"outdoors",1
2014,"LV","S.Janikowski","00-0019646",53,6,"outdoors",1
2014,"ARI","C.Catanzaro","00-0030896",41,6,"outdoors",1
2014,"ATL","M.Bryant","00-0020578",57,14,"outdoors",0
2014,"BAL","J.Tucker","00-0029597",38,14,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",38,14,"outdoors",1
2014,"CAR","G.Gano","00-0026858",33,12,"outdoors",1
2014,"GB","M.Crosby","00-0025580",34,12,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",23,NA,"outdoors",1
2014,"IND","A.Vinatieri","00-0016919",50,NA,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",40,8,"outdoors",1
2014,"CLE","B.Cundiff","00-0020972",22,8,"outdoors",1
2014,"JAX","J.Scobee","00-0022874",30,8,"outdoors",1
2014,"HOU","R.Bullock","00-0029421",39,6,"outdoors",1
2014,"HOU","R.Bullock","00-0029421",38,6,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",44,6,"outdoors",1
2014,"HOU","R.Bullock","00-0029421",31,6,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",30,6,"outdoors",1
2014,"PIT","S.Suisham","00-0023001",40,6,"outdoors",1
2014,"KC","C.Santos","00-0031203",28,2,"outdoors",1
2014,"KC","C.Santos","00-0031203",40,2,"outdoors",1
2014,"LAC","N.Novak","00-0023096",24,2,"outdoors",1
2014,"LAC","N.Novak","00-0023096",48,2,"outdoors",1
2014,"KC","C.Santos","00-0031203",48,2,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",50,10,"outdoors",0
2014,"MIA","C.Sturgis","00-0030390",33,10,"outdoors",1
2014,"MIA","C.Sturgis","00-0030390",37,10,"outdoors",0
2014,"MIA","C.Sturgis","00-0030390",19,10,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",40,9,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",31,9,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",55,9,"outdoors",1
2014,"MIN","B.Walsh","00-0029576",33,9,"outdoors",1
2014,"DET","M.Prater","00-0023853",21,NA,"indoors",1
2014,"NO","S.Graham","00-0019536",27,NA,"indoors",1
2014,"NO","S.Graham","00-0019536",48,NA,"indoors",1
2014,"NO","S.Graham","00-0019536",36,NA,"indoors",1
2014,"DAL","D.Bailey","00-0028660",49,NA,"indoors",1
2014,"NYJ","N.Folk","00-0025565",22,9,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",47,9,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",46,9,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",27,9,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",39,9,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",36,9,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",58,9,"outdoors",0
2014,"SEA","S.Hauschka","00-0025944",24,NA,"indoors",1
2014,"LA","G.Zuerlein","00-0029621",52,NA,"indoors",0
2014,"SEA","S.Hauschka","00-0025944",35,NA,"indoors",1
2014,"SF","P.Dawson","00-0004091",51,4,"outdoors",0
2014,"SF","P.Dawson","00-0004091",22,4,"outdoors",1
2014,"WAS","K.Forbath","00-0028787",31,13,"outdoors",1
2014,"TEN","R.Succop","00-0026968",36,13,"outdoors",1
2014,"WAS","K.Forbath","00-0028787",31,13,"outdoors",1
2014,"WAS","K.Forbath","00-0028787",27,13,"outdoors",1
2014,"WAS","K.Forbath","00-0028787",22,13,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",45,6,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",50,6,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",32,6,"outdoors",1
2014,"CIN","M.Nugent","00-0023482",33,6,"outdoors",1
2014,"BAL","J.Tucker","00-0029597",53,6,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",53,16,"outdoors",1
2014,"NYJ","N.Folk","00-0025565",55,16,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",36,16,"outdoors",1
2014,"BUF","D.Carpenter","00-0026003",29,16,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",23,14,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",27,14,"outdoors",1
2014,"NE","S.Gostkowski","00-0024333",39,14,"outdoors",1
2014,"DET","M.Prater","00-0023853",22,13,"outdoors",1
2014,"DET","M.Prater","00-0023853",20,13,"outdoors",1
2014,"DET","M.Prater","00-0023853",48,13,"outdoors",1
2014,"GB","M.Crosby","00-0025580",31,NA,"indoors",1
2014,"NO","S.Graham","00-0019536",31,NA,"indoors",1
2014,"GB","M.Crosby","00-0025580",49,NA,"indoors",1
2014,"NO","S.Graham","00-0019536",29,NA,"indoors",1
2014,"GB","M.Crosby","00-0025580",27,NA,"indoors",1
